% ID	Lat	Long
1186	43.57655153	-96.66489371
1187	44.33285679	-103.8311861
1188	35.70601658	-83.54160986
1189	41.97228492	-111.5524967
1190	37.6916095	-112.8473612
1191	40.59169695	-111.5783163
1192	40.62278684	-111.4793073
1193	38.32240879	-112.37804
1194	40.63015091	-111.5253698
1195	40.67365921	-111.5671984
1196	41.37652538	-111.7719627
1197	41.19966176	-111.8623999
1198	40.57198325	-111.6409067
1199	40.61407938	-111.6034028
1200	40.3855853	-111.5914193
1201	43.22111875	-72.93808173
1202	44.41664371	-72.84539496
1203	44.57999546	-71.89948159
1204	43.93223745	-72.95543292
1205	44.16460224	-72.91376886
1206	42.92401479	-72.90096299
1207	44.92964378	-72.51557007
1208	43.61074085	-72.79300316
1209	44.19854769	-72.9254417
1210	43.19611508	-72.76497687
1211	42.96094748	-72.90824202
1212	43.41035837	-72.73395291
1213	43.65189603	-72.84057891
1214	44.57223206	-72.77071135
1215	44.52712988	-72.788806
1216	43.10208769	-72.91182048
1217	44.13681555	-72.9107508
1218	38.81381872	-78.76644875
1219	38.39784178	-78.75962371
1220	37.91800663	-78.9394629
1221	47.45081003	-121.436964
1222	46.07559571	-117.8518836
1223	46.93388207	-121.4813339
1224	47.93680844	-120.0585846
1225	48.29184643	-117.5684021
1226	48.39201331	-119.9191026
1227	47.40979121	-121.4190531
1228	47.38093633	-121.4201217
1229	46.62176516	-121.397883
1230	38.42408452	-79.99620023
1231	39.03642955	-79.39644086
1232	42.73337	-88.42784569
1233	43.50034136	-89.517453
1234	43.42252117	-89.62851181
1235	43.74161156	-91.18243216
1236	44.11995491	-89.18209862
1237	44.92521663	-89.68562324
1238	44.00306123	-89.81961639
1239	46.10269049	-91.34199131
1240	45.3497462	-92.6207623
1241	46.40578677	-90.40226771
1242	42.49817781	-88.1907095
1243	43.78693334	-110.9454699
1244	42.74710196	-106.3405049
1245	43.59400035	-110.8466202
1246	44.16081614	-107.2179171
1247	41.33747482	-106.1783171
1248	43.46763247	-110.7585941
1249	42.97275463	-109.7507907
